question,right_answer,answers,url
س1- عادة ماتكون مبيعات السلع الصناعية نتيجة طلب مشتق حيث أن بيعها يتم نتيجة بيع سلع أستهلاكية:,A,"أ- صحيح,ب- خطأ",https://www.easyel.net/2020/03/39-1440.html
س2- من شروط التجزئة الفعالة للسوق:,C,"أ- الضبابية,ب- أعادة صياغتها بشكل أخر,ج- القابلية للقياس,د- أعادة البيع",https://www.easyel.net/2020/03/39-1440.html
س3- جميع المنشأت تتأثر بدرجة متفاوته بالكثير من المتغيرات البيئيه سواء على المستوى المحلي أوالدولي:,B,"أ- خطأ,ب- صحيح",https://www.easyel.net/2020/03/39-1440.html
س4- من أنواع السلع الأستهلاكية:,B,"أ- السلع المرخصه,ب- السلع الميسره,ج- السلع التكنلوجية,د- السلع المهمشة",https://www.easyel.net/2020/03/39-1440.html
س5- من العوامل الخارجية المؤثرة في التسعير:,B,"أ- قيود الأدارة,ب- المنافسة,ج- دورة حياة المنتج,د- أهداف التسعير",https://www.easyel.net/2020/03/39-1440.html
س6- هي الأتصالات الشخصية الهادفه الى أقناع المستهلك بعملية الشراء:,A,"أ- البيع الشخصي,ب- الأستراتيجية التسويقيه,ج- المفهوم الأجتماعي للتسويق,د- التسعير",https://www.easyel.net/2020/03/39-1440.html
س7- من الأمثله على وسائل تنشيط المبيعات:,A,"أ- الهدايا,ب- التلفاز,ج- الراديو,د- البيع الشخصي",https://www.easyel.net/2020/03/39-1440.html
س8- من أستراتيجيات التعامل مع الأسواق المستهدفه:,C,"أ- استراتيجية التوسع,ب- استراتيجية السوق المالي,ج- استراتيجية السوق الكلي,د- استراتيجية السحب والدفع",https://www.easyel.net/2020/03/39-1440.html
س9- من أهداف التسعير:,A,"أ- البقاء في السوق,ب- الخروج من السوق,ج- انخفاض الطلب,د- زيادة التضخم",https://www.easyel.net/2020/03/39-1440.html
س10- التسعير هو القيمه النقديه للسلعة أو الخدمة كما تتحدد في السوق:,A,"أ- صحيح,ب- خطأ",https://www.easyel.net/2020/03/39-1440.html
س11- السعر أي شيء يمكن تقديمه للسوق بغرض الأستهلاك أو الأستخدام أو الحيازه لأشباع حاجه أو رغبة معينه:,B,"أ- صحيح,ب- خطأ",https://www.easyel.net/2020/03/39-1440.html
س12- من الأمثله على وسطاء التسويق:,D,"أ- الموردون,ب- الزبائن,ج- المنافسون,د- وكالات الخدمات التسويقيه",https://www.easyel.net/2020/03/39-1440.html
س13- من عناصر المزيج التسويقي:,B,"أ- المكان,ب- المنتج,ج- التنوع,د- الزمان",https://www.easyel.net/2020/03/39-1440.html
س14- من أبرز خصائص هذه المرحله من مراحل تطور التسويق هو التركيز على الأنتاج والأنتاجيه:,D,"أ- المفهوم البعي,ب- المفهوم التسويقي,ج- المفهوم الأقتصادي,د- المفهوم الأنتاجي",https://www.easyel.net/2020/03/39-1440.html
س15- من عناصر المزيج الترويجي:,A,"أ- الأعلان,ب- دورة حياة المنتج,ج- السلع الميسرة,د- السلع الخاصة",https://www.easyel.net/2020/03/39-1440.html
س16- من خصائص الخدمات:,A,"أ- اللا ملموسيه,ب- سهولة التخزين,ج- التشابه,د- كثرة مقدمي الخدمه",https://www.easyel.net/2020/03/39-1440.html
س17- تنقسم العوامل البيئية الخارجية التي تحيط بالمنظمه الى:,C,"أ- عوامل البيئه القريبه والبعيده,ب- عوامل البيئه المحلية والدولية,ج- عوامل البيئه الجزئية والكلية,د- عوامل البيئه المؤثرة وغير المؤثرة",https://www.easyel.net/2020/03/39-1440.html
س18- أخر مراحل دورة حياة المنتج:,B,"أ- النمو,ب- الأنحدار,ج- الفكرة,د- النضج",https://www.easyel.net/2020/03/39-1440.html
س19- تقسم الخدمات حسب المستهلك الى:,D,"أ- أستشارات واتصالات,ب- خدمات محلية ودولية,ج- خدمات طبيه وهندسيه,د- خدمات أستهلاكية وأعمال",https://www.easyel.net/2020/03/39-1440.html
س20- من العوامل المؤثرة في المزيج الترويجي:,D,"أ- الوعي,ب- البيع الشخصي,ج- الأعلان,د- طبيعة السوق",https://www.easyel.net/2020/03/39-1440.html
س21- من خصائص السلع الأستهلاكية:,B,"أ- المشترين غير مهتمين بالسلعه,ب- عدد المشترين كبير,ج- عدد المشترين صغير,د- صعوبة الوصول للمشترين",https://www.easyel.net/2020/03/39-1440.html
س22- من المنافع التي يؤديها التسويق:,C,"أ- المنفعه الطبيعيه,ب- المنفعه البيولوجية,ج- المنفعه الزمانية,د- المنفعه الكامله",https://www.easyel.net/2020/03/39-1440.html
س23- هي خطة طويلة الأمد لأستخدام الموارد التنظيميه في تحقيق الأهداف التسويقية للمنظمه:,D,"أ- المزيج التسويقي,ب- السوق,ج- الخطه التسويقية,د- الأستراتيجيه التسويقيه",https://www.easyel.net/2020/03/39-1440.html
س24- الخدمه هي أي عمل أو أداء ملموس يقدمه طرف الى طرف أخر دون ان ينتج عنه ملكية شيء ما:,A,"أ- خطأ,ب- صحيح",https://www.easyel.net/2020/03/39-1440.html
س25- تساهم هذه البيئه في صياغة وأدراك القيم والأذواق وقواعد سلوك المجتمع:,B,"أ- البيئه الطبيعية,ب- البيئه الثقافية,ج- البيئه التكنولوجية,د- البيئه السياحية",https://www.easyel.net/2020/03/39-1440.html
س26- من شروط اختيار العلامه التجارية:,B,"أ- أن تكون مشابهه لعلامة عالمية,ب- ان يسهل نطقها وتذكرها,ج- ان تكون متكرره,د- ان تتميز بالغموض",https://www.easyel.net/2020/03/39-1440.html
س27- من الأسباب التي ادت الى زيادة أهمية قطاع الخدمات:,B,"أ- أنخفاض سعر تقديم الخدمه,ب- أرتفاع نسبة العاملين في القطاع,ج- انخفاض نسبة العاملين في القطاع,د- عدم التأثر بالتغيرات التكنلوجية",https://www.easyel.net/2020/03/39-1440.html
س28- من أشهر النماذج التي فسرت الحاجات هو نموذج العالم:,A,"أ- ماسلو,ب- بنز,ج- سايمون,د- فورد",https://www.easyel.net/2020/03/39-1440.html
س29- من العوامل المؤثرة على الأعلان الفعال:,B,"أ- الأعلام,ب- الوقت,ج- التوزيع,د- السعر",https://www.easyel.net/2020/03/39-1440.html
س30- من أسس تقسيم الأسواق الأستهلاكية:,D,"أ- حسب طلب الزبائن,ب- حسب الأسس الواضحه,ج- حسب الأسس الدولية,د- حسب الأساس الجغرافي",https://www.easyel.net/2020/03/39-1440.html
س31- من المفاهيم الجوهرية في التسويق:,A,"أ- الطلب,ب- دورة حياة المنتج,ج- الوسائل,د- التغليف",https://www.easyel.net/2020/03/39-1440.html
س32- من أشكال استراتيجية تجزئة السوق:,C,"أ- استراتيجية التجزئة الفعلية,ب- استراتيجية التوزيع الكامل,ج- استراتيجية التجزئة المركزه,د- استراتيجية القطاع المحلي",https://www.easyel.net/2020/03/39-1440.html
س33- من الأمثله على عوامل البيئة الكلية:,D,"أ- الزبائن,ب- الجمهور,ج- الموظفون,د- البيئه الديموغرافيا",https://www.easyel.net/2020/03/39-1440.html
س34- من الأمثله على عوامل البيئة الجزئية:,A,"أ- الموردون,ب- الثقافه,ج- السياسه,د- الأقتصاد",https://www.easyel.net/2020/03/39-1440.html
س35- من أهداف الترويج المعرفه والدراية:,A,"أ- صحيح,ب- خطأ",https://www.easyel.net/2020/03/39-1440.html
س36- يمكن تقسيم الأسواق الى نوعين هما:,A,"أ- سوق أستهلاكي وصناعي,ب- سوق اسهم وسندات,ج- سوق فعلي وافتراضي,د- سوق شراء وبيع",https://www.easyel.net/2020/03/39-1440.html
س37- هو نشاط أنساني موجه لأشباع الحاجات والرغبات من خلال عملية التبادل:,C,"أ- الترويج,ب- التسعير,ج- التسويق,د- التوزيع",https://www.easyel.net/2020/03/39-1440.html
س38- الخطوه الأولى من خطوات التسعير:,B,"أ- تحديد ردة فعل المنافسين,ب- تحديد أهداف التسعير,ج- تحديد ردة فعل المستهلكين,د- الرقابه والتصحيح",https://www.easyel.net/2020/03/39-1440.html
س39- من الأمثله على السلع الماديه الكامله:,A,"أ- الملح,ب- الطبيب النفسي,ج- الطيران,د- الأستشارات الهندسيه",https://www.easyel.net/2020/03/39-1440.html
س40- يصنف المنتج الى ثلاث مستويات رئيسيه منها:,A,"أ- المنتج الجوهر,ب- المنتج الرخيص,ج- المنتج المحلي,د- المنتج الثمين",https://www.easyel.net/2020/03/39-1440.html
س41- يعد قطاع الخدمات مهماً بسبب ارتفاع نسبة الأشخاص العاملين في هذا القطاع.,A,"أ- صحيح,ب- خطأ",https://www.easyel.net/2020/03/39-1440.html
س42- من الأمثلة على وسطاء التسويق:,C,"أ- الجمهور الحكومي,ب- المنافسون,ج- وكالات التسويق,د- الأسواق المالية",https://www.easyel.net/2020/03/39-1440.html
س43- تعد المجلات من أبرز الوسائل المستخدمة في الإعلان:,A,"أ- صحيح,ب- خطأ",https://www.easyel.net/2020/03/39-1440.html
س44- من أسباب زيادة الاهتمام بقطاع الخدمات:,D,"أ- الرقابة على التسعير,ب- الحماية من التقليد,ج- اللاملموسية,د- ارتفاع نسبة مساهمه الخدمات في الناتج القومي الإجمالي",https://www.easyel.net/2020/03/39-1440.html
س45- لا يوجد فرق بين الدعاية والإعلان حيث أن كليهما مدفوع الأجر:,B,"أ- صحيح,ب- خطأ",https://www.easyel.net/2020/03/39-1440.html
س46- من الأمثلة على السلع الميسرة:,B,"أ- البيوت,ب- الخبز,ج- الملابس,د- السيارات",https://www.easyel.net/2020/03/39-1440.html
س47- من المنافع التي توفرها إدارة التسويق:,C,"أ- المنفعة الكلية,ب- المنفعة الحدية,ج- المنفعة المكانية,د- المنفعة الدولية",https://www.easyel.net/2020/03/39-1440.html
س48- استراتيجيات التعامل مع الأسواق المستهدفة اثنان هما:,D,"أ- السوق المالي والأسهم,ب- السوق المفتوح والمغلق,ج- السوق المحلي والدولي,د- السوق الكلي وتجزئة السوق",https://www.easyel.net/2020/03/39-1440.html
س49- تمتاز الخدمات ببعض الخصائص المختلفة عن السلع المادية مثل:,D,"أ- عدم شراء السلع الضارة,ب- الملموسية,ج- القابلية للتسجيل,د- الفنائية",https://www.easyel.net/2020/03/39-1440.html
س50- من خصائص مرحلة المفهوم البيعي:,C,"أ- التركيز على المستهلك,ب- التركيز على الحاجات والرغبات,ج- التركيز على البيع,د- التركيز على صفات المنتج",https://www.easyel.net/2020/03/39-1440.html
س51- من الأمثلة على السلع الملموسة البحتة:,C,"أ- الطيران,ب- الاستشارات,ج- السكر,د- المطاعم",https://www.easyel.net/2020/03/39-1440.html
س52- يمكن تقسيم المنتجات إلى قسمين رئيسيين هما:,D,"أ- ضروريات كماليات,ب- منتج جوهر وملموس,ج- ترويج وتوزيع,د- سلع وخدمات",https://www.easyel.net/2020/03/39-1440.html
س53- إبراهام ماسلو هو صاحب نظرية:,B,"أ- التطور,ب- الحاجات,ج- الإدارة الحديثة,د- التسويق",https://www.easyel.net/2020/03/39-1440.html
س54- من الاستراتيجيات الخاصة بتجزئة السوق:,C,"أ- التقسيم الكلي,ب- التقسيم الربحي,ج- التقسيم المتنوع,د- التقسيم الفرعي",https://www.easyel.net/2020/03/39-1440.html
س55- من معايير الاختيار بين استراتيجيات تجزئة السوق:,A,"أ- موارد وإمكانيات الشركة,ب- الجمهور الحكومي,ج- الوفورات الاقتصادية,د- الجمهور المالي",https://www.easyel.net/2020/03/39-1440.html
س56- تعمل الشركة في ظل أنواع مختلفة من الجماهير منها:,B,"أ- الجمهور الرياضي,ب- الجمهور المالي,ج- الجمهور المحلي,د- الجمهور المعادي",https://www.easyel.net/2020/03/39-1440.html
س57- من العوامل الداخلية المؤثرة في التسعير:,D,"أ- الاقتصاد,ب- المنافسة,ج- القوانين الحكومية,د- قيود خاصة بالإدارة",https://www.easyel.net/2020/03/39-1440.html
س58- من عناصر المزيج الترويجي:,D,"أ- التسعير,ب- التوزيع,ج- المنتج,د- الإعلان",https://www.easyel.net/2020/03/39-1440.html
س59- من أنواع السلع الاستهلاكية:,B,"أ- سلع نافعة,ب- سلع التسوق,ج- سلع ضارة,د- سلع منشودة",https://www.easyel.net/2020/03/39-1440.html
س60- من اهداف الترويج:,B,"أ- رفع التكاليف,ب- زيادة الوعي,ج- تقليل التكاليف,د- هدف الوضع الراهن",https://www.easyel.net/2020/03/39-1440.html
س61- من مراحل دورة حياة المنتج:,C,"أ- مرحلة التجديد,ب- مرحلة الموت,ج- مرحلة الانحدار,د- مرحلة ما قبل الفكرة",https://www.easyel.net/2020/03/39-1440.html
س62- من العوامل الخارجية المؤثرة في التسعير هو التشريعات والقوانين الحكومية.,B,"أ- خطأ,ب- صحيح",https://www.easyel.net/2020/03/39-1440.html
س63- هو نشاط إنساني موجة لإشباع الحاجات والرغبات من خلال عملية التبادل:,A,"أ- التسويق,ب- التوزيع,ج- المنتج,د- التسعير",https://www.easyel.net/2020/03/39-1440.html
س64- آخر خطوات التسعير:,A,"أ- الرقابة على التسعير,ب- تحديد سياسات التسعير,ج- تحديد أهداف التسعير,د- تحديد استراتيجيات التسعير",https://www.easyel.net/2020/03/39-1440.html
س65- من أسس تقسيم الأسواق الاستهلاكية:,C,"أ- التقسيم حسب الأساس الفني,ب- التقسيم حسب الأساس الربحي,ج- التقسيم حسب الأساس الديموغرافي,د- التقسيم حسب أساس التكلفة",https://www.easyel.net/2020/03/39-1440.html
س66- من عناصر المزيج التسويقي:,A,"أ- التوزيع,ب- خدمة العملاء,ج- التبادل,د- قصر النظر التسويقي",https://www.easyel.net/2020/03/39-1440.html
س67- من شروط التجزئة الفعالة للسوق:,D,"أ- السوق الكلي,ب- التقسيم المتنوع,ج- التجزئة المركزة,د- القابلية للقياس",https://www.easyel.net/2020/03/39-1440.html
س68- هي القيمة النقدية للسلعة كما تتحدد في السوق:,C,"أ- التوزيع,ب- التكاليف,ج- السعر,د- الترويج",https://www.easyel.net/2020/03/39-1440.html
س69- من أسباب تمييز العلامة التجارية:,D,"أ- تقليل ولاء المستهلك,ب- تطور علم التسويق,ج- التغير في حاجات ورغبات المستهلكين,د- زيادة ولاء المستهلكين",https://www.easyel.net/2020/03/39-1440.html
س70- من عوامل البيئة الجزئية:,A,"أ- الموردون,ب- البيئة الاقتصادية,ج- البيئة السياسية,د- القانون",https://www.easyel.net/2020/03/39-1440.html
س71- من عوامل البيئة التسويقية الخارجية:,D,"أ- عوامل البيئة الخدمية,ب- عوامل البيئة الدولية,ج- عوامل البيئة المحلية,د- عوامل البيئة الكلية",https://www.easyel.net/2020/03/39-1440.html
س72- من أهداف التسعير زيادة وعي المستهلك:,A,"أ- خطأ,ب- صحيح",https://www.easyel.net/2020/03/39-1440.html
س73- من المفاهيم الجوهرية في التسويق:,C,"أ- المنظمات,ب- رجال البيع,ج- الرغبات,د- الأشخاص",https://www.easyel.net/2020/03/39-1440.html
س74- من أهداف التسعير:,A,"أ- زيادة الحصة السوقية,ب- تقليل الحصة السوقية,ج- تقليل التكاليف,د- الانسحاب من السوق",https://www.easyel.net/2020/03/39-1440.html
س75- هم الأشخاص أو الشركات الذين يقومون بشراء السلع التي يقوم المنتج بإنتاجها:,D,"أ- الموردون,ب- المنافسون,ج- الشركة,د- الزبائن",https://www.easyel.net/2020/03/39-1440.html
س76- هو أي شيء يمكن تقديمه للسوق بغرض الاستهلاك أو الاستخدام أو الحيازة:,C,"أ- التسعير,ب- التوزيع,ج- المنتج,د- الترويج",https://www.easyel.net/2020/03/39-1440.html
س77- الإعلان هو أي شكل الاتصال الشخصي لتقديم الافكار وترويج السلع والخدمات من خلال جهة متخصصة غير مدفوعة الأجر.,A,"أ- خطأ,ب- صحيح",https://www.easyel.net/2020/03/39-1440.html
س78- من الأمثلة على تقسيم الأسواق هو السوق:,C,"أ- المحلي,ب- العالمي,ج- الاستهلاكي,د- الخاص",https://www.easyel.net/2020/03/39-1440.html
س79- يصنف المنتج إلى 3 مستويات رئيسية منها:,D,"أ- المنتج العملي,ب- المنتج المصاحب,ج- المنتج الفعلي,د- المنتج الملموس",https://www.easyel.net/2020/03/39-1440.html
س80- من الانتقادات التي وجهت لعلم التسويق:,D,"أ- يوفر الأموال,ب- يحد من استهلاك السلع الضارة,ج- يسهل الوصول للمستهلك,د- يشجع على استهلاك السلع الضارة",https://www.easyel.net/2020/03/39-1440.html
